SKU,Price,Title,Assets,Description,Brand,Category,Stock
RAD225P,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD225P,https://www.europa-plc.com/_uploads/europa/xRAD225P_H_555_W_555.jpg.pagespeed.ic.d5A0INA0IX.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD225F,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD225F,https://www.europa-plc.com/_uploads/europa/xRAD225F_H_555_W_555.jpg.pagespeed.ic.d5A0INA0IX.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD225B,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD225B,https://www.europa-plc.com/_uploads/europa/xRAD225B_H_555_W_555.jpg.pagespeed.ic.d5A0INA0IX.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD224F,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD224F,https://www.europa-plc.com/_uploads/europa/xRAD224F_H_555_W_555.jpg.pagespeed.ic.2hd7_6ah1P.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD223P,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD223P,https://www.europa-plc.com/_uploads/europa/xRAD223P_H_555_W_555.jpg.pagespeed.ic.P_ZnbO_Z_C.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD221P,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD221P,https://www.europa-plc.com/_uploads/europa/xRAD221P_H_555_W_555.jpg.pagespeed.ic.hVC2Wmii-f.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
PIR6W-1P-230VAC,16.64,Europa Interfacing Relay PIR6W-1P-230VAC,https://www.europa-plc.com/_uploads/europa/xPIR6W-1P-230VAC_H_555_W_555.jpg.pagespeed.ic.CCgAjIQdWZ.webp,"
				LED indicator, Relay eject mechanism, 6mm wide din rail mounting",Europa,Relays,100
PB5322413,31.74,Europa IP67 Insulated Adaptable Boxes PB5322413,https://www.europa-plc.com/_uploads/europa/PB5322413_H_555_W_555.jpg,"
				IP67 IK10, ABS Box, Quick turn screws , Hinged lid, Mounting plate to be ordered separately",Europa,Accessories,100
PB5201514,23.94,Europa IP67 Insulated Adaptable Boxes PB5201514,https://www.europa-plc.com/_uploads/europa/PB5201514_H_555_W_555.jpg,"
				IP67 IK10, ABS Box, Quick turn screws , Hinged lid, Mounting plate to be ordered separately",Europa,Accessories,100
MS-SDS11N7MC,330.49,Europa Metal Clad Compact Star Delta Starters (IP54) MS-SDS11N7MC,https://www.europa-plc.com/_uploads/europa/xMS-SDS11N7MC_H_555_W_555.jpg.pagespeed.ic.SoBrSnw2wi.webp,"
				IP54 , Cover: RAL 7035 / Base: RAL 7012, Overload relays must be ordered separately , H:240 x W:310 x D:165mm",Europa,Accessories,100
MES50,11.32,Europa MES MES50,https://www.europa-plc.com/_uploads/europa/xMES50_H_555_W_555.jpg.pagespeed.ic._jlqD5U0Ux.webp,"
				Rated at 415V 80kA, 69 x 17.5mm",Europa,Fuse,100
MECU18SP17/80,105.71,Europa Metal Clad Consumer Unit (IP40) MECU18SP17/80,https://www.europa-plc.com/_uploads/europa/MECU18SP17-80_H_555_W_555.jpg,"
				IP40, Earth & neutral terminal bars included, Lift up stay put lid, Top & bottom round knockouts: 4 x 20mm + 1 x 25mm, Large enclosure for easy wiring (Busbar sold separately), H:240 x W:340 x D:105mm",Europa,Accessories,100
